kick_id,tournament,season,match,kick_order,team,kicker,kicker_position,kicker_foot,goalkeeper,goalkeeper_team,keeper_foot,shot_placement,keeper_dive,outcome,pressure_score,score_state,knockout_round,source
bootstrap-22,Copa America,2022,Spain vs Brazil,1,Spain,Pedri,MF,Right,Alisson,Brazil,Right,Center,Right,Goal,63,Drawing,Semifinal,starter_sample
bootstrap-23,Copa America,2022,Germany vs Argentina,2,Germany,Ilkay Gundogan,MF,Right,Emiliano Martinez,Argentina,Right,Left,Left,Goal,70,Trailing,Semifinal,starter_sample
bootstrap-24,Copa America,2022,Netherlands vs France,3,Netherlands,Memphis Depay,FW,Right,Mike Maignan,France,Right,Right,Right,Saved,77,Leading,Semifinal,starter_sample
bootstrap-25,AFCON,2026,France vs Brazil,1,France,Kylian Mbappe,FW,Right,Alisson,Brazil,Right,Center,Center,Saved,82,Leading,Final,starter_sample
bootstrap-26,AFCON,2026,Argentina vs France,2,Argentina,Lionel Messi,FW,Left,Mike Maignan,France,Right,Right,Right,Goal,89,Drawing,Final,starter_sample
bootstrap-27,AFCON,2026,England vs France,3,England,Harry Kane,FW,Right,Mike Maignan,France,Right,Left,Center,Goal,96,Trailing,Final,starter_sample
bootstrap-28,AFCON,2026,Portugal vs England,4,Portugal,Cristiano Ronaldo,FW,Right,Jordan Pickford,England,Left,Right,Left,Goal,58,Leading,Final,starter_sample
bootstrap-29,AFCON,2026,Brazil vs Argentina,5,Brazil,Neymar,FW,Right,Emiliano Martinez,Argentina,Right,Center,Center,Goal,65,Drawing,Final,starter_sample
bootstrap-30,AFCON,2026,Spain vs Argentina,1,Spain,Pedri,MF,Right,Emiliano Martinez,Argentina,Right,Left,Right,Goal,72,Trailing,Final,starter_sample
bootstrap-31,AFCON,2026,Germany vs France,2,Germany,Ilkay Gundogan,MF,Right,Mike Maignan,France,Right,Right,Center,Goal,79,Leading,Final,starter_sample
bootstrap-32,AFCON,2026,Netherlands vs England,3,Netherlands,Memphis Depay,FW,Right,Jordan Pickford,England,Left,Left,Left,Goal,86,Drawing,Final,starter_sample
