manager_id,manager_name,team,active_from,active_to,status,preferred_formations,default_style,pressing_level,build_up_style,transition_style,set_piece_emphasis,substitution_aggression,big_game_risk_tolerance,source,last_verified,notes
australia_popovic,Tony Popovic,Australia,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
paraguay_alfaro,Gustavo Alfaro,Paraguay,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
turkiye_montella,Vincenzo Montella,Turkiye,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
usa_pochettino,Mauricio Pochettino,USA,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
curacao_advocaat,Dick Advocaat,Curacao,,,registry_only,,,,,,,,,https://www.fourfourtwo.com/team/curacao-world-cup-2026-squad,2026-06-11,Current tournament manager registry; verify after any late tournament change
ecuador_beccacece,Sebastian Beccacece,Ecuador,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
germany_nagelsmann,Julian Nagelsmann,Germany,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
cote_divoire_fae,Emerse Fae,Cote d'Ivoire,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
japan_moriyasu,Hajime Moriyasu,Japan,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
netherlands_koeman,Ronald Koeman,Netherlands,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
sweden_potter,Graham Potter,Sweden,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
tunisia_lamouchi,Sabri Lamouchi,Tunisia,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
belgium_garcia,Rudi Garcia,Belgium,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
egypt_hassan,Hossam Hassan,Egypt,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
iran_ghalenoei,Amir Ghalenoei,IR Iran,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
new_zealand_bazeley,Darren Bazeley,New Zealand,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
cabo_verde_bubista,Bubista,Cabo Verde,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
saudi_arabia_donis,Georgios Donis,Saudi Arabia,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
spain_de_la_fuente,Luis de la Fuente,Spain,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
uruguay_bielsa,Marcelo Bielsa,Uruguay,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
france_deschamps,Didier Deschamps,France,2012,,manual_prototype,4-2-3-1|4-3-3,compact_transition,medium,mixed_or_direct,fast_counter,medium,medium,low,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Tactical hypothesis remains manual until observed history is ingested
iraq_arnold,Graham Arnold,Iraq,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
norway_solbakken,Stale Solbakken,Norway,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
senegal_thiaw,Pape Thiaw,Senegal,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
algeria_petkovic,Vladimir Petkovic,Algeria,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
argentina_scaloni,Lionel Scaloni,Argentina,2018,,manual_prototype,4-3-3|4-4-2,adaptive_control,medium,patient_or_direct,balanced_transition,medium,medium,medium,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Tactical hypothesis remains manual until observed history is ingested
austria_rangnick,Ralf Rangnick,Austria,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
jordan_sellami,Jamal Sellami,Jordan,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
colombia_lorenzo,Nestor Lorenzo,Colombia,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
congo_dr_desabre,Sebastien Desabre,Congo DR,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
portugal_martinez,Roberto Martinez,Portugal,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
uzbekistan_cannavaro,Fabio Cannavaro,Uzbekistan,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
croatia_dalic,Zlatko Dalic,Croatia,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
england_tuchel,Thomas Tuchel,England,2025,,manual_prototype,4-2-3-1|3-4-2-1,structured_flexibility,high,controlled_progression,fast_after_regain,medium,high,medium,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Tactical hypothesis remains manual until observed history is ingested
ghana_queiroz,Carlos Queiroz,Ghana,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
panama_christiansen,Thomas Christiansen,Panama,,,registry_only,,,,,,,,,https://en.wikipedia.org/wiki/2026_FIFA_World_Cup_squads,2026-06-11,Current tournament manager registry; tactical profile requires observed evidence
