team,keeper,save_pct,post_shot_xg_prevented_per90,claim_rate,sweeper_rate,source,updated_at
IR Iran,Alireza Beiranvand,0.864,0.205,0.576,0.72,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
New Zealand,Max Crocombe,0.5762,-0.1548,0.3841,0.4802,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Cabo Verde,Vozinha,0.707,0.0088,0.4713,0.5892,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Saudi Arabia,Mohammed Al-Owais,0.7157,0.0196,0.4771,0.5964,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Spain,Unai Simón,0.88,0.2705,0.6109,0.7637,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Uruguay,Fernando Muslera,0.88,0.2269,0.5819,0.7273,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
France,Mike Maignan,0.8466,0.1832,0.5644,0.7055,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Iraq,Jalal Hassan,0.8117,0.1396,0.5469,0.6837,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Norway,Ørjan Nyland,0.8204,0.1505,0.5353,0.6692,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Senegal,Édouard Mendy,0.8553,0.1941,0.5702,0.7127,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Algeria,Luca Zidane,0.5587,-0.1766,0.3725,0.4656,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Argentina,Emiliano Martínez,0.8728,0.216,0.5877,0.7346,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Austria,Alexander Schlager,0.6111,-0.1111,0.4132,0.5165,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Jordan,Yazeed Abulaila,0.7681,0.0851,0.5121,0.6401,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Colombia,David Ospina,0.7419,0.0524,0.5063,0.6328,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Congo DR,Matthieu Epolo,0.5849,-0.1439,0.3899,0.4874,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Portugal,Diogo Costa,0.88,0.2377,0.5935,0.7418,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Uzbekistan,Utkir Yusupov,0.6023,-0.1221,0.4015,0.5019,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Croatia,Dominik Livaković,0.88,0.2486,0.5993,0.7491,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
England,Jordan Pickford,0.88,0.3141,0.6342,0.7927,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Ghana,Lawrence Ati-Zigi,0.6198,-0.1003,0.419,0.5238,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
Panama,Orlando Mosquera,0.6721,-0.0349,0.4481,0.5601,derived-player-team-profile,2026-09-02T13:43:31.617002+00:00
