match_id,team,player,starter,position,role,formation,confidence,confirmed,source,updated_at
,Mexico,Álvaro Fidalgo,0,MF,Central Midfield,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Mexico,Raúl Jiménez,1,FW,Centre-Forward,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Mexico,Alexis Vega,0,FW,Left Winger,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Mexico,Santiago Giménez,1,FW,Centre-Forward,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Mexico,Carlos Acevedo,0,GK,Goalkeeper,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Mexico,Guillermo Ochoa,1,GK,Goalkeeper,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Mexico,Armando González,0,FW,Centre-Forward,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Mexico,Israel Reyes,0,DF,Right-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Mexico,Julián Quiñones,0,FW,Centre-Forward,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Mexico,Orbelín Pineda,1,MF,Central Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Mexico,Obed Vargas,0,MF,Central Midfield,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Mexico,Gilberto Mora,0,MF,Attacking Midfield,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Mexico,Mateo Chávez,0,DF,Left-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Mexico,César Huerta,0,FW,Left Winger,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Mexico,Guillermo Martínez,0,FW,Centre-Forward,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Mexico,Jesús Gallardo,1,DF,Left-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Mexico,Luis Chávez,1,MF,Defensive Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Mexico,Roberto Alvarado,1,FW,Right Winger,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Mexico,Brian Gutiérrez,0,MF,Attacking Midfield,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Ronwen Williams,1,GK,Goalkeeper,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Thabang Matuludi,0,DF,Right-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Khulumani Ndamane,0,DF,Centre-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Teboho Mokoena,1,MF,Defensive Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Thalente Mbatha,1,MF,Central Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Aubrey Modiba,1,DF,Left-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Oswin Appollis,1,FW,Left Winger,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Tshepang Moremi,0,FW,Left Winger,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Lyle Foster,1,FW,Centre-Forward,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Relebohile Mofokeng,0,FW,Left Winger,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Themba Zwane,1,MF,Attacking Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Thapelo Maseko,0,FW,Right Winger,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Sphephelo Sithole,0,MF,,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Mbekezeli Mbokazi,1,DF,Centre-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Iqraam Rayners,0,FW,Centre-Forward,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Sipho Chaine,0,GK,Goalkeeper,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Evidence Makgopa,1,FW,Centre-Forward,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Samukele Kabini,0,DF,Left-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Nkosinathi Sibisi,1,DF,Centre-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Khuliso Mudau,1,DF,Right-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Ime Okon,0,DF,Centre-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Ricardo Goss,0,GK,Goalkeeper,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Jayden Adams,0,MF,Central Midfield,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Olwethu Makhanya,0,DF,Centre-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Kamogelo Sebelebele,0,FW,Right-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,South Africa,Bradley Cross,0,DF,Left-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Kim Seung-gyu,1,GK,,4-4-2,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Lee Han-beom,0,DF,,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Lee Gi-hyuk,0,MF,,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Kim Min-jae,1,DF,,4-4-2,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Kim Tae-hyeon,0,DF,,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Hwang In-beom,1,MF,,4-4-2,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Son Heung-min,1,FW,,4-4-2,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Paik Seung-ho,0,MF,,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Cho Gue-sung,1,FW,,4-4-2,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Lee Jae-sung,1,MF,,4-4-2,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Hwang Hee-chan,1,MF,,4-4-2,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Song Bum-keun,0,GK,,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Lee Tae-seok,0,DF,,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Cho Wi-je,0,DF,,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Kim Moon-hwan,1,DF,,4-4-2,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Park Jin-seob,0,DF,,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Bae Jun-ho,0,MF,,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Oh Hyeon-gyu,0,FW,,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Lee Kang-in,1,MF,,4-4-2,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Yang Hyun-jun,0,MF,,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Jo Hyeon-woo,0,GK,,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Seol Young-woo,1,DF,,4-4-2,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Jens Castrop,1,DF,Central Midfield,4-4-2,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Kim Jin-gyu,0,MF,,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Eom Ji-sung,0,MF,,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Korea Republic,Lee Dong-gyeong,0,MF,,4-4-2,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Nikola Vasilj,1,GK,Goalkeeper,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Nihad Mujakić,0,DF,Centre-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Dennis Hadžikadunić,1,DF,Centre-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Tarik Muharemović,1,DF,Centre-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Sead Kolašinac,1,DF,Centre-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Benjamin Tahirović,1,MF,Central Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Amar Dedić,1,DF,Right-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Armin Gigović,0,MF,Central Midfield,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Samed Baždar,0,FW,Centre-Forward,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Ermedin Demirović,1,FW,Centre-Forward,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Edin Džeko,1,FW,Centre-Forward,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Mladen Jurkas,0,GK,Goalkeeper,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Ivan Bašić,0,MF,Central Midfield,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Ivan Šunjić,0,MF,Defensive Midfield,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Amar Memić,1,MF,Right Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Amir Hadžiahmetović,1,MF,Defensive Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Dženis Burnić,0,MF,Defensive Midfield,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Nikola Katić,0,DF,Centre-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Kerim Alajbegović,1,FW,Left Winger,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Esmir Bajraktarević,0,FW,Right Winger,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Stjepan Radeljić,0,DF,Centre-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Martin Zlomislić,0,GK,Goalkeeper,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Haris Tabaković,0,FW,Centre-Forward,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Arjan Malić,0,DF,Right-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Jovo Lukić,0,FW,Centre-Forward,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Bosnia and Herzegovina,Ermin Mahmić,0,MF,Attacking Midfield,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Dayne St. Clair,0,GK,Goalkeeper,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Alistair Johnston,1,DF,Right-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Alfie Jones,0,DF,Centre-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Luc de Fougerolles,0,DF,Centre-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Joel Waterman,0,DF,Centre-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Mathieu Choinière,0,MF,Central Midfield,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Stephen Eustáquio,1,MF,Central Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Ismaël Koné,1,MF,Central Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Cyle Larin,1,FW,Centre-Forward,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Jonathan David,1,FW,Centre-Forward,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Liam Millar,0,MF,Left Winger,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Tani Oluwaseyi,0,FW,Centre-Forward,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Derek Cornelius,1,DF,Centre-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Jacob Shaffelburg,0,MF,Left Winger,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Moïse Bombito,0,DF,Centre-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Maxime Crépeau,1,GK,Goalkeeper,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Tajon Buchanan,1,FW,Right Winger,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Owen Goodman,0,GK,Goalkeeper,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Alphonso Davies,1,DF,Left-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Ali Ahmed,0,FW,Left Midfield,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Jonathan Osorio,1,MF,Central Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Richie Laryea,1,DF,Right-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Niko Sigur,0,DF,Defensive Midfield,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Promise David,0,FW,Centre-Forward,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Nathan Saliba,0,MF,,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Canada,Jayden Nelson,0,FW,Left Winger,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Mahmud Abunada,0,GK,,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Pedro Miguel,1,DF,Centre-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Lucas Mendes,1,DF,Centre-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Issa Laye,0,DF,Centre-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Jassem Gaber,1,DF,Defensive Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Abdulaziz Hatem,0,MF,,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Ahmed Alaaeldin,0,FW,Centre-Forward,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Edmilson Junior,0,FW,Left Winger,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Mohammed Muntari,0,FW,Centre-Forward,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Hassan Al-Haydos,1,FW,Attacking Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Akram Afif,1,FW,Left Winger,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Karim Boudiaf,1,MF,Defensive Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Ayoub Al-Oui,0,DF,Right-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Homam Ahmed,0,DF,,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Yusuf Abdurisag,0,FW,Right Winger,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Boualem Khoukhi,1,DF,Centre-Back,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Ahmed Al-Ganehi,1,MF,Right Winger,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Sultan Al-Brake,0,DF,Left-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Almoez Ali,1,FW,Centre-Forward,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Ahmed Fathy,0,MF,,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Salah Zakaria,0,GK,Goalkeeper,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Meshaal Barsham,1,GK,Goalkeeper,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Assim Madibo,1,MF,Defensive Midfield,4-3-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Tahsin Jamshid,0,FW,,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Al-Hashmi Al-Hussain,0,DF,Centre-Back,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Qatar,Mohamed Manai,0,FW,Central Midfield,4-3-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Switzerland,Gregor Kobel,1,GK,Goalkeeper,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Switzerland,Miro Muheim,0,DF,Left-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Switzerland,Silvan Widmer,0,DF,Right-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Switzerland,Nico Elvedi,1,DF,Centre-Back,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Switzerland,Manuel Akanji,1,DF,Centre-Back,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Switzerland,Denis Zakaria,1,MF,Defensive Midfield,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Switzerland,Breel Embolo,1,FW,Centre-Forward,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Switzerland,Remo Freuler,1,MF,Central Midfield,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Switzerland,Johan Manzambi,0,MF,Central Midfield,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Switzerland,Granit Xhaka,1,MF,Defensive Midfield,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Switzerland,Dan Ndoye,1,FW,Right Winger,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Switzerland,Yvon Mvogo,0,GK,Goalkeeper,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Switzerland,Ricardo Rodriguez,1,DF,Left-Back,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Switzerland,Ardon Jashari,0,MF,Defensive Midfield,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Switzerland,Djibril Sow,1,MF,Central Midfield,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Switzerland,Christian Fassnacht,0,FW,Right Midfield,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Switzerland,Rubén Vargas,1,FW,Left Winger,3-4-3,62,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Switzerland,Eray Cömert,0,DF,Centre-Back,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
,Switzerland,Noah Okafor,0,FW,Left Winger,3-4-3,48,0,market-value/caps positional projection,2026-08-26T10:00:19.549394+00:00
