team,player_shooting_score,player_chance_creation_score,player_passing_score,player_progression_score,player_pressing_score,player_defensive_activity_score,player_goalkeeping_score,player_keeper_sweeping_score,player_keeper_diving_score,player_set_piece_delivery_score,player_early_goal_score,player_late_goal_score,player_discipline_score,player_minutes_score
Senegal,96.0,95.13,76.81,92.51,76.81,72.45,85.53,85.53,65.47,95.13,75.94,86.4,89.89,82.04
South Africa,55.87,58.49,56.74,56.74,55.87,57.62,75.06,75.06,75.94,58.49,56.74,57.62,61.98,56.74
Spain,86.4,78.55,75.94,83.79,84.66,75.06,91.64,91.64,60.23,78.55,75.06,85.53,88.15,82.91
Sweden,66.34,67.21,68.09,68.96,70.7,74.19,64.6,64.6,86.4,62.85,65.47,71.57,69.83,68.09
Switzerland,89.02,83.79,87.28,89.89,88.15,86.4,76.81,75.94,74.19,83.79,88.15,90.77,92.51,89.89
Tunisia,62.85,70.7,64.6,66.34,63.72,64.6,62.85,61.11,88.15,73.32,67.21,60.23,62.85,60.23
Turkiye,83.79,82.91,75.06,85.53,78.55,87.28,81.17,81.17,68.96,77.68,74.19,87.28,87.28,81.17
USA,89.89,90.77,77.68,91.64,90.77,81.17,77.68,77.68,73.32,84.66,85.53,82.04,85.53,83.79
Uruguay,75.06,75.94,90.77,75.94,94.26,89.89,88.15,87.28,62.85,82.91,81.17,80.3,72.45,79.43
Uzbekistan,78.55,81.17,83.79,75.06,72.45,70.7,60.23,60.23,90.77,87.28,91.64,68.09,60.23,73.32
