team,player,position,scoring_weight,starter,penalty_taker
Mexico,Jesús Gallardo,DF,44.34,1,0
Mexico,Luis Chávez,MF,66.33,1,0
Mexico,Roberto Alvarado,FW,99.15,1,0
Mexico,Brian Gutiérrez,MF,61.64,0,0
South Africa,Ronwen Williams,GK,30.62,1,0
South Africa,Thabang Matuludi,DF,32.2,0,0
South Africa,Khulumani Ndamane,DF,32.38,0,0
South Africa,Teboho Mokoena,MF,66.92,1,0
South Africa,Thalente Mbatha,MF,60.28,1,0
South Africa,Aubrey Modiba,DF,39.18,1,0
South Africa,Oswin Appollis,FW,92.35,1,0
South Africa,Tshepang Moremi,FW,88.36,0,0
South Africa,Lyle Foster,FW,94.95,1,0
South Africa,Relebohile Mofokeng,FW,89.71,0,0
South Africa,Themba Zwane,MF,64.45,1,1
South Africa,Thapelo Maseko,FW,87.9,0,0
South Africa,Sphephelo Sithole,MF,38.57,0,0
South Africa,Mbekezeli Mbokazi,DF,35.59,1,0
South Africa,Iqraam Rayners,FW,91.0,0,0
South Africa,Sipho Chaine,GK,24.03,0,0
South Africa,Evidence Makgopa,FW,91.4,1,0
South Africa,Samukele Kabini,DF,34.2,0,0
South Africa,Nkosinathi Sibisi,DF,35.22,1,0
South Africa,Khuliso Mudau,DF,36.59,1,0
South Africa,Ime Okon,DF,34.32,0,0
South Africa,Ricardo Goss,GK,21.93,0,0
South Africa,Jayden Adams,MF,58.15,0,0
South Africa,Olwethu Makhanya,DF,33.23,0,0
South Africa,Kamogelo Sebelebele,FW,87.11,0,0
South Africa,Bradley Cross,DF,31.43,0,0
Korea Republic,Kim Seung-gyu,GK,10.9,1,0
Korea Republic,Lee Han-beom,DF,10.99,0,0
Korea Republic,Lee Gi-hyuk,MF,35.37,0,0
Korea Republic,Kim Min-jae,DF,20.68,1,0
Korea Republic,Kim Tae-hyeon,DF,10.87,0,0
Korea Republic,Hwang In-beom,MF,45.38,1,0
Korea Republic,Son Heung-min,FW,79.4,1,1
Korea Republic,Paik Seung-ho,MF,39.02,0,0
Korea Republic,Cho Gue-sung,FW,71.99,1,0
Korea Republic,Lee Jae-sung,MF,48.28,1,0
Korea Republic,Hwang Hee-chan,MF,48.6,1,0
Korea Republic,Song Bum-keun,GK,1.37,0,0
Korea Republic,Lee Tae-seok,DF,12.08,0,0
Korea Republic,Cho Wi-je,DF,10.12,0,0
Korea Republic,Kim Moon-hwan,DF,14.33,1,0
Korea Republic,Park Jin-seob,DF,11.96,0,0
Korea Republic,Bae Jun-ho,MF,37.06,0,0
Korea Republic,Oh Hyeon-gyu,FW,69.11,0,0
Korea Republic,Lee Kang-in,MF,43.29,1,0
Korea Republic,Yang Hyun-jun,MF,36.11,0,0
Korea Republic,Jo Hyeon-woo,GK,6.94,0,0
Korea Republic,Seol Young-woo,DF,14.21,1,0
Korea Republic,Jens Castrop,DF,36.67,1,0
Korea Republic,Kim Jin-gyu,MF,38.4,0,0
Korea Republic,Eom Ji-sung,MF,36.56,0,0
Korea Republic,Lee Dong-gyeong,MF,38.13,0,0
Bosnia and Herzegovina,Nikola Vasilj,GK,28.62,1,0
Bosnia and Herzegovina,Nihad Mujakić,DF,34.0,0,0
Bosnia and Herzegovina,Dennis Hadžikadunić,DF,36.37,1,0
Bosnia and Herzegovina,Tarik Muharemović,DF,39.1,1,0
Bosnia and Herzegovina,Sead Kolašinac,DF,42.26,1,0
Bosnia and Herzegovina,Benjamin Tahirović,MF,63.32,1,0
Bosnia and Herzegovina,Amar Dedić,DF,40.12,1,0
Bosnia and Herzegovina,Armin Gigović,MF,61.16,0,0
Bosnia and Herzegovina,Samed Baždar,FW,89.38,0,0
Bosnia and Herzegovina,Ermedin Demirović,FW,97.41,1,0
Bosnia and Herzegovina,Edin Džeko,FW,101.52,1,1
Bosnia and Herzegovina,Mladen Jurkas,GK,22.55,0,0
Bosnia and Herzegovina,Ivan Bašić,MF,59.39,0,0
Bosnia and Herzegovina,Ivan Šunjić,MF,59.59,0,0
Bosnia and Herzegovina,Amar Memić,MF,61.24,1,0
Bosnia and Herzegovina,Amir Hadžiahmetović,MF,63.67,1,0
Bosnia and Herzegovina,Dženis Burnić,MF,59.76,0,0
Bosnia and Herzegovina,Nikola Katić,DF,35.26,0,0
Bosnia and Herzegovina,Kerim Alajbegović,FW,93.31,1,0
Bosnia and Herzegovina,Esmir Bajraktarević,FW,92.43,0,0
Bosnia and Herzegovina,Stjepan Radeljić,DF,34.38,0,0
Bosnia and Herzegovina,Martin Zlomislić,GK,24.6,0,0
Bosnia and Herzegovina,Haris Tabaković,FW,90.88,0,0
Bosnia and Herzegovina,Nidal Čelik,DF,35.36,0,0
Bosnia and Herzegovina,Jovo Lukić,FW,88.01,0,0
Bosnia and Herzegovina,Ermin Mahmić,MF,59.82,0,0
Canada,Dayne St. Clair,GK,27.6,0,0
Canada,Alistair Johnston,DF,42.73,1,0
Canada,Alfie Jones,DF,35.23,0,0
Canada,Luc de Fougerolles,DF,33.6,0,0
Canada,Joel Waterman,DF,35.33,0,0
Canada,Mathieu Choinière,MF,59.61,0,0
Canada,Stephen Eustáquio,MF,67.69,1,0
Canada,Ismaël Koné,MF,68.0,1,0
Canada,Cyle Larin,FW,102.34,1,0
Canada,Jonathan David,FW,106.47,1,1
Canada,Liam Millar,MF,64.05,0,0
Canada,Tani Oluwaseyi,FW,93.55,0,0
Canada,Derek Cornelius,DF,39.13,1,0
Canada,Jacob Shaffelburg,MF,63.77,0,0
Canada,Moïse Bombito,DF,37.71,0,0
Canada,Maxime Crépeau,GK,27.89,1,0
Canada,Tajon Buchanan,FW,99.43,1,0
Canada,Owen Goodman,GK,22.16,0,0
Canada,Alphonso Davies,DF,48.58,1,0
Canada,Ali Ahmed,FW,92.79,0,0
Canada,Jonathan Osorio,MF,69.27,1,0
Canada,Richie Laryea,DF,41.5,1,0
Canada,Niko Sigur,DF,37.01,0,0
Canada,Promise David,FW,93.15,0,0
Canada,Nathan Saliba,MF,37.18,0,0
Qatar,Mahmud Abunada,GK,1.5,0,0
Qatar,Pedro Miguel,DF,39.66,1,0
Qatar,Lucas Mendes,DF,33.76,1,0
Qatar,Issa Laye,DF,29.91,0,0
Qatar,Jassem Gaber,DF,35.07,1,0
Qatar,Abdulaziz Hatem,MF,47.38,0,0
Qatar,Ahmed Alaaeldin,FW,94.64,0,0
Qatar,Edmilson Junior,FW,89.91,0,0
Qatar,Mohammed Muntari,FW,94.89,1,0
Qatar,Hassan Al-Haydos,FW,79.4,0,0
Qatar,Akram Afif,FW,104.85,1,0
Qatar,Karim Boudiaf,MF,65.35,1,0
Qatar,Ayoub Al-Oui,DF,31.17,0,0
Qatar,Homam Ahmed,DF,18.97,0,0
Qatar,Yusuf Abdurisag,FW,90.14,0,0
Qatar,Boualem Khoukhi,DF,43.94,1,0
Qatar,Ahmed Al-Ganehi,MF,57.84,1,0
Qatar,Sultan Al-Brake,DF,32.17,0,0
Qatar,Almoez Ali,FW,102.98,1,1
Qatar,Ahmed Fathy,MF,40.82,0,0
Qatar,Salah Zakaria,GK,22.64,0,0
Qatar,Meshaal Barsham,GK,28.98,1,0
Qatar,Assim Madibo,MF,61.62,1,0
Qatar,Tahsin Jamshid,FW,65.25,0,0
Qatar,Al-Hashmi Al-Hussain,DF,30.76,0,0
Qatar,Mohamed Manai,FW,66.11,0,0
Switzerland,Gregor Kobel,GK,31.5,1,0
Switzerland,Miro Muheim,DF,35.81,0,0
Switzerland,Silvan Widmer,DF,40.19,0,0
Switzerland,Nico Elvedi,DF,44.29,1,0
Switzerland,Manuel Akanji,DF,47.45,1,0
Switzerland,Denis Zakaria,MF,70.87,1,0
Switzerland,Breel Embolo,FW,104.44,1,1
Switzerland,Remo Freuler,MF,71.25,1,0
Switzerland,Johan Manzambi,MF,65.42,0,0
Switzerland,Granit Xhaka,MF,74.17,1,0
Switzerland,Dan Ndoye,FW,97.28,1,0
Switzerland,Yvon Mvogo,GK,26.19,0,0
Switzerland,Ricardo Rodriguez,DF,44.69,1,0
Switzerland,Ardon Jashari,MF,63.14,0,0
Switzerland,Djibril Sow,MF,66.65,1,0
Switzerland,Christian Fassnacht,FW,91.59,0,0
Switzerland,Rubén Vargas,FW,100.06,1,0
Switzerland,Eray Cömert,DF,36.18,0,0
Switzerland,Noah Okafor,FW,95.5,0,0
Switzerland,Michel Aebischer,MF,64.61,0,0
Switzerland,Marvin Keller,GK,26.11,0,0
Switzerland,Fabian Rieder,MF,64.66,0,0
Switzerland,Zeki Amdouni,FW,95.11,0,0
Switzerland,Aurèle Amenda,DF,36.55,0,0
Switzerland,Luca Jaquez,DF,36.18,0,0
Switzerland,Cedric Itten,FW,90.43,0,0
Brazil,Alisson,GK,36.98,1,0
Brazil,Wesley,DF,38.89,1,0
Brazil,Gabriel Magalhães,DF,12.33,0,0
Brazil,Marquinhos,DF,48.93,1,0
Brazil,Casemiro,MF,71.91,1,0
Brazil,Alex Sandro,DF,38.01,0,0
Brazil,Vinícius Júnior,FW,102.24,1,0
Brazil,Bruno Guimarães,MF,69.57,1,0
Brazil,Matheus Cunha,FW,96.88,0,0
Brazil,Neymar,FW,104.85,1,1
Brazil,Raphinha,FW,100.25,1,0
Brazil,Weverton,GK,23.78,0,0
Brazil,Danilo Luiz,DF,18.76,0,0
Brazil,Bremer,DF,38.9,1,0
Brazil,Léo Pereira,DF,36.47,0,0
Brazil,Douglas Santos,DF,36.09,0,0
Brazil,Fabinho,MF,65.18,1,0
Brazil,Danilo Santos,MF,35.82,0,0
Brazil,Endrick,FW,95.39,0,0
Brazil,Lucas Paquetá,MF,73.26,1,0
Brazil,Luiz Henrique,FW,94.2,0,0
Brazil,Gabriel Martinelli,FW,96.45,0,0
Brazil,Ederson,GK,30.76,0,0
Brazil,Roger Ibañez,DF,37.4,0,0
Brazil,Igor Thiago,FW,94.43,0,0
Brazil,Rayan,FW,94.05,0,0
Haiti,Johny Placide,GK,29.98,1,0
Haiti,Carlens Arcus,DF,39.72,1,0
Haiti,Keeto Thermoncy,DF,28.56,0,0
Haiti,Ricardo Adé,DF,37.82,1,0
Haiti,Hannes Delcroix,DF,33.97,1,0
Haiti,Carl Sainté,MF,57.01,0,0
Haiti,Derrick Etienne Jr.,FW,93.61,1,0
Haiti,Martin Expérience,DF,32.91,0,0
Haiti,Duckens Nazon,FW,100.79,1,1
Haiti,Jean-Ricner Bellegarde,MF,62.67,1,0
Haiti,Louicius Deedson,FW,92.53,0,0
Haiti,Alexandre Pierre,GK,24.4,0,0
Haiti,Duke Lacroix,DF,31.32,0,0
Haiti,Leverton Pierre,MF,58.62,1,0
Haiti,Ruben Providence,FW,87.31,0,0
Haiti,Lenny Joseph,FW,88.48,0,0
Haiti,Danley Jean Jacques,MF,63.82,1,0
Haiti,Wilson Isidor,FW,92.24,0,0
Haiti,Yassin Fortuné,FW,85.04,0,0
Haiti,Frantzdy Pierrot,FW,98.33,1,0
Haiti,Josué Casimir,FW,89.62,0,0
Haiti,Jean-Kévin Duverne,DF,35.43,1,0
Haiti,Josué Duverger,GK,19.06,0,0
Haiti,Wilguens Paugain,DF,32.17,0,0
Haiti,Dominique Simon,MF,54.66,0,0
Haiti,Woodensky Pierre,MF,53.56,0,0
Morocco,Yassine Bounou,GK,35.02,1,0
Morocco,Achraf Hakimi,DF,51.51,1,0
Morocco,Noussair Mazraoui,DF,42.64,1,0
Morocco,Sofyan Amrabat,MF,70.25,1,0
Morocco,Nayef Aguerd,DF,44.82,1,0
Morocco,Ayyoub Bouaddi,MF,63.75,0,0
Morocco,Chemsdine Talbi,MF,62.89,0,0
Morocco,Azzedine Ounahi,MF,68.77,1,0
Morocco,Soufiane Rahimi,FW,95.98,0,0
Morocco,Brahim Díaz,FW,97.57,1,0
Morocco,Ismael Saibari,MF,68.76,1,0
Morocco,Munir Mohamedi,GK,7.56,0,0
Morocco,Zakaria El Ouahdi,DF,36.7,0,0
Morocco,Issa Diop,DF,35.82,0,0
Morocco,Samir El Mourabet,MF,62.44,0,0
Morocco,Gessime Yassine,MF,61.71,0,0
Morocco,Abde Ezzalzouli,FW,97.27,1,0
Morocco,Chadi Riad,DF,37.3,0,0
Morocco,Youssef Belammari,DF,34.64,0,0
Morocco,Ayoub El Kaabi,FW,102.98,1,1
Morocco,Ayoube Amaimouni,FW,65.12,0,0
Morocco,Ahmed Reda Tagnaouti,GK,23.13,0,0
Morocco,Bilal El Khannouss,MF,67.94,1,0
Morocco,Neil El Aynaoui,MF,64.44,0,0
Morocco,Redouane Halhal,DF,34.12,0,0
Morocco,Anass Salah-Eddine,DF,37.21,0,0
Scotland,Angus Gunn,GK,25.72,0,0
Scotland,Aaron Hickey,DF,39.03,1,0
Scotland,Andy Robertson,DF,20.8,0,0
Scotland,Scott McTominay,MF,74.71,1,0
Scotland,Grant Hanley,DF,38.28,0,0
Scotland,Kieran Tierney,DF,42.7,1,0
Scotland,John McGinn,MF,75.62,1,1
Scotland,Tyler Fletcher,MF,57.89,0,0
Scotland,Lyndon Dykes,FW,94.36,1,0
Scotland,Ché Adams,FW,96.8,1,0
Scotland,Ryan Christie,MF,70.99,1,0
Scotland,Liam Kelly,GK,23.13,0,0
Scotland,Jack Hendry,DF,38.84,0,0
Scotland,Ross Stewart,FW,88.83,0,0
Scotland,John Souttar,DF,36.52,0,0
Scotland,Dominic Hyam,DF,33.6,0,0
Scotland,Ben Gannon-Doak,FW,93.19,0,0
Scotland,George Hirst,FW,92.05,0,0
Scotland,Lewis Ferguson,MF,64.41,1,0
Scotland,Lawrence Shankland,FW,92.0,0,0
Scotland,Craig Gordon,GK,27.11,1,0
Scotland,Nathan Patterson,DF,39.25,1,0
Scotland,Kenny McLean,MF,63.38,0,0
Scotland,Anthony Ralston,DF,36.21,0,0
Scotland,Findlay Curtis,FW,88.6,0,0
Scotland,Scott McKenna,DF,40.75,1,0
Australia,Mathew Ryan,GK,34.13,1,0
Australia,Miloš Degenek,DF,37.99,1,0
Australia,Alessandro Circati,DF,37.81,0,0
Australia,Jacob Italiano,DF,31.79,0,0
Australia,Jordan Bos,DF,40.21,1,0
Australia,Jason Geria,DF,32.26,0,0
Australia,Mathew Leckie,FW,96.77,1,0
Australia,Connor Metcalfe,MF,62.32,1,0
Australia,Mohamed Touré,FW,89.6,0,0
Australia,Ajdin Hrustic,FW,91.39,0,0
Australia,Awer Mabil,FW,91.64,1,0
Australia,Paul Izzo,GK,22.5,0,0
Australia,Aiden O'Neill,MF,62.59,1,0
Australia,Cammy Devlin,MF,58.72,0,0
Australia,Kai Trewin,DF,33.68,0,0
Australia,Aziz Behich,DF,40.47,1,0
Australia,Nestory Irankunda,FW,92.82,1,0
Australia,Patrick Beach,GK,23.24,0,0
Australia,Harry Souttar,DF,41.18,1,0
Australia,Cristian Volpato,FW,90.8,0,0
Australia,Cameron Burgess,DF,35.98,0,0
Australia,Jackson Irvine,MF,70.17,1,1
Australia,Nishan Velupillay,FW,87.68,0,0
Australia,Paul Okon-Engstler,MF,58.03,0,0
Australia,Lucas Herrington,DF,34.9,0,0
Australia,Tete Yengi,FW,85.84,0,0
Paraguay,Gatito Fernández,GK,4.71,0,0
Paraguay,Gustavo Velázquez,DF,32.36,0,0
Paraguay,Omar Alderete,DF,41.23,1,0
Paraguay,Juan José Cáceres,DF,36.67,0,0
Paraguay,Fabián Balbuena,DF,38.22,0,0
Paraguay,Júnior Alonso,DF,42.1,1,0
Paraguay,Ramón Sosa,MF,64.49,1,0
Paraguay,Diego Gómez,MF,65.79,1,0
Paraguay,Antonio Sanabria,FW,94.77,1,0
Paraguay,Miguel Almirón,MF,71.54,1,1
Paraguay,Maurício,MF,61.7,0,0
Paraguay,Orlando Gill,GK,26.6,1,0
Paraguay,José Canale,DF,33.5,0,0
Paraguay,Andrés Cubas,MF,63.49,1,0
Paraguay,Gustavo Gómez,DF,44.92,1,0
Paraguay,Damián Bobadilla,MF,62.56,0,0
Paraguay,Kaku,FW,94.13,1,0
Paraguay,Álex Arce,FW,90.98,0,0
Paraguay,Julio Enciso,FW,96.62,1,0
Paraguay,Braian Ojeda,MF,61.1,0,0
Paraguay,Gabriel Ávalos,FW,89.64,0,0
Paraguay,Gastón Olveira,GK,22.13,0,0
Paraguay,Matías Galarza,MF,61.06,0,0
Paraguay,Gustavo Caballero,MF,57.59,0,0
Paraguay,Isidro Pitta,FW,90.96,0,0
Paraguay,Alexandro Maidana,DF,33.71,0,0
Turkiye,Mert Günok,GK,26.59,0,0
Turkiye,Zeki Çelik,DF,44.44,1,0
Turkiye,Merih Demiral,DF,45.24,1,0
Turkiye,Çağlar Söyüncü,DF,42.0,1,0
Turkiye,Salih Özcan,MF,62.94,0,0
Turkiye,Orkun Kökçü,MF,69.23,1,0
Turkiye,Kerem Aktürkoğlu,FW,100.15,1,0
Turkiye,Arda Güler,FW,98.56,1,0
Turkiye,Deniz Gül,FW,90.82,0,0
Turkiye,Hakan Çalhanoğlu,MF,75.96,1,1
Turkiye,Kenan Yıldız,FW,98.14,1,0
Turkiye,Altay Bayındır,GK,27.18,0,0
Turkiye,Eren Elmalı,DF,37.42,0,0
Turkiye,Abdülkerim Bardakcı,DF,38.78,0,0
Turkiye,Ozan Kabak,DF,40.49,0,0
Turkiye,İsmail Yüksek,MF,65.51,0,0
Turkiye,İrfan Can Kahveci,FW,95.34,0,0
Turkiye,Mert Müldür,DF,41.35,0,0
Turkiye,Yunus Akgün,FW,94.36,0,0
Turkiye,Ferdi Kadıoğlu,DF,41.97,1,0
Turkiye,Barış Alper Yılmaz,FW,97.16,0,0
Turkiye,Kaan Ayhan,MF,67.93,1,0
Turkiye,Uğurcan Çakır,GK,32.16,1,0
Turkiye,Oğuz Aydın,FW,91.47,0,0
Turkiye,Samet Akaydin,DF,34.99,0,0
Turkiye,Can Uzun,FW,93.96,0,0
USA,Matt Turner,GK,31.27,1,0
USA,Sergiño Dest,DF,42.12,1,0
USA,Chris Richards,DF,42.58,1,0
USA,Tyler Adams,MF,69.28,1,0
USA,Antonee Robinson,DF,44.53,1,0
USA,Auston Trusty,DF,35.85,0,0
USA,Giovanni Reyna,MF,65.94,1,0
USA,Weston McKennie,MF,73.31,1,0
USA,Ricardo Pepi,FW,98.69,0,0
USA,Christian Pulisic,FW,107.17,1,1
USA,Brenden Aaronson,FW,100.28,1,0
USA,Miles Robinson,DF,39.62,0,0
USA,Tim Ream,DF,39.21,0,0
USA,Sebastian Berhalter,MF,62.16,0,0
USA,Cristian Roldan,MF,64.82,0,0
USA,Alex Freeman,DF,36.55,0,0
USA,Malik Tillman,MF,66.83,1,0
USA,Maximilian Arfsten,DF,12.58,0,0
USA,Haji Wright,FW,94.93,0,0
USA,Folarin Balogun,FW,97.4,0,0
USA,Timothy Weah,FW,99.0,1,0
USA,Mark McKenzie,DF,38.7,0,0
USA,Joe Scally,DF,38.33,0,0
USA,Matt Freese,GK,25.96,0,0
USA,Chris Brady,GK,24.71,0,0
USA,Alejandro Zendejas,FW,66.99,0,0
Curacao,Eloy Room,GK,28.87,1,0
Curacao,Shurandy Sambo,DF,33.4,0,0
Curacao,Juriën Gaari,DF,38.18,1,0
Curacao,Roshon van Eijma,DF,34.11,0,0
Curacao,Sherel Floranus,DF,35.1,1,0
Curacao,Godfried Roemeratoe,MF,59.0,0,0
Curacao,Juninho Bacuna,MF,67.06,1,0
Curacao,Livano Comenencia,MF,58.58,0,0
Curacao,Jürgen Locadia,FW,86.28,0,0
Curacao,Leandro Bacuna,MF,67.28,1,1
Curacao,Jeremy Antonisse,FW,90.36,1,0
Curacao,Sontje Hansen,FW,89.87,0,0
Curacao,Tyrese Noslin,FW,87.53,0,0
Curacao,Kenji Gorré,FW,91.78,1,0
Curacao,Ar'jany Martha,MF,57.99,0,0
Curacao,Jearl Margaritha,FW,90.36,1,0
Curacao,Brandley Kuwas,FW,89.36,0,0
Curacao,Armando Obispo,DF,34.96,1,0
Curacao,Gervane Kastaneer,FW,88.95,0,0
Curacao,Joshua Brenet,DF,34.45,1,0
Curacao,Tahith Chong,MF,60.42,1,0
Curacao,Kevin Felida,MF,58.23,0,0
Curacao,Riechedly Bazoer,DF,33.26,0,0
Curacao,Deveron Fonville,DF,32.89,0,0
Curacao,Tyrick Bodak,GK,17.71,0,0
Curacao,Trevor Doornbusch,GK,19.19,0,0
Ecuador,Hernán Galíndez,GK,25.4,1,0
Ecuador,Félix Torres,DF,39.18,0,0
Ecuador,Piero Hincapié,DF,45.37,1,0
Ecuador,Joel Ordóñez,DF,39.7,0,0
Ecuador,Jordy Alcívar,MF,59.69,0,0
Ecuador,Willian Pacho,DF,43.79,1,0
Ecuador,Pervis Estupiñán,DF,43.55,1,0
Ecuador,Anthony Valencia,MF,57.59,0,0
Ecuador,John Yeboah,FW,92.8,0,0
Ecuador,Kendry Páez,MF,63.99,1,0
Ecuador,Kevin Rodríguez,FW,93.79,1,0
Ecuador,Moisés Ramírez,GK,23.63,0,0
Ecuador,Enner Valencia,FW,101.52,1,1
Ecuador,Alan Minda,MF,61.68,0,0
Ecuador,Pedro Vite,MF,62.19,0,0
Ecuador,Jordy Caicedo,FW,90.96,0,0
Ecuador,Ángelo Preciado,DF,40.81,1,0
Ecuador,Denil Castillo,MF,60.85,0,0
Ecuador,Gonzalo Plata,FW,97.73,1,0
Ecuador,Nilson Angulo,FW,93.39,0,0
Ecuador,Alan Franco,MF,66.8,1,0
Ecuador,Gonzalo Valle,GK,24.43,0,0
Ecuador,Moisés Caicedo,MF,72.59,1,0
Ecuador,Jeremy Arévalo,FW,90.6,0,0
Ecuador,Jackson Porozo,DF,34.92,0,0
Ecuador,Yaimar Medina,DF,34.96,0,0
Germany,Manuel Neuer,GK,35.24,1,0
Germany,Antonio Rüdiger,DF,46.21,1,0
Germany,Waldemar Anton,DF,38.23,0,0
Germany,Jonathan Tah,DF,43.37,1,0
Germany,Aleksandar Pavlović,MF,65.78,1,0
Germany,Joshua Kimmich,DF,49.96,1,0
Germany,Kai Havertz,FW,103.29,1,1
Germany,Leon Goretzka,MF,73.01,1,0
Germany,Jamie Leweling,MF,63.74,0,0
Germany,Jamal Musiala,MF,71.59,1,0
Germany,Nick Woltemade,FW,95.41,0,0
Germany,Oliver Baumann,GK,26.07,0,0
Germany,Pascal Groß,MF,61.04,0,0
Germany,Maximilian Beier,FW,94.01,0,0
Germany,Nico Schlotterbeck,DF,41.75,0,0
Germany,Angelo Stiller,MF,64.08,0,0
Germany,Florian Wirtz,MF,71.92,1,0
Germany,Nathaniel Brown,DF,38.52,0,0
Germany,Leroy Sané,MF,74.79,1,0
Germany,Nadiem Amiri,MF,63.12,0,0
Germany,Alexander Nübel,GK,27.47,0,0
Germany,David Raum,DF,41.95,1,0
Germany,Felix Nmecha,MF,64.47,0,0
Germany,Malick Thiaw,DF,38.83,0,0
Germany,Lennart Karl,MF,64.04,0,0
Germany,Deniz Undav,FW,93.83,0,0
Cote d'Ivoire,Yahia Fofana,GK,29.9,1,0
Cote d'Ivoire,Ousmane Diomande,DF,40.06,0,0
Cote d'Ivoire,Ghislain Konan,DF,40.44,1,0
Cote d'Ivoire,Jean Michaël Seri,MF,62.38,0,0
Cote d'Ivoire,Wilfried Singo,DF,41.45,1,0
Cote d'Ivoire,Seko Fofana,MF,65.86,1,0
Cote d'Ivoire,Odilon Kossounou,DF,40.78,1,0
Cote d'Ivoire,Franck Kessié,MF,74.37,1,1
Cote d'Ivoire,Ange-Yoan Bonny,FW,92.81,0,0
Cote d'Ivoire,Simon Adingra,FW,96.17,1,0
Cote d'Ivoire,Yan Diomande,FW,95.82,0,0
Cote d'Ivoire,Elye Wahi,FW,91.87,0,0
Cote d'Ivoire,Christopher Opéri,DF,35.7,0,0
Cote d'Ivoire,Oumar Diakité,FW,93.93,0,0
Cote d'Ivoire,Amad Diallo,FW,96.08,1,0
Cote d'Ivoire,Mohamed Koné,GK,22.76,0,0
Cote d'Ivoire,Guéla Doué,DF,39.71,0,0
Cote d'Ivoire,Ibrahim Sangaré,MF,71.67,1,0
Cote d'Ivoire,Nicolas Pépé,FW,98.21,1,0
Cote d'Ivoire,Emmanuel Agbadou,DF,39.36,0,0
Cote d'Ivoire,Evan Ndicka,DF,41.27,1,0
Cote d'Ivoire,Evann Guessand,FW,95.38,0,0
Cote d'Ivoire,Alban Lafont,GK,25.37,0,0
Cote d'Ivoire,Bazoumana Touré,FW,93.9,0,0
Cote d'Ivoire,Parfait Guiagon,MF,60.31,0,0
Cote d'Ivoire,Christ Inao Oulaï,MF,63.13,0,0
Japan,Zion Suzuki,GK,30.88,1,0
Japan,Yukinari Sugawara,DF,37.9,0,0
Japan,Shōgo Taniguchi,DF,36.69,0,0
Japan,Kō Itakura,DF,40.85,1,0
Japan,Yūto Nagatomo,DF,39.23,1,0
Japan,Wataru Endo,MF,69.27,1,0
Japan,Ao Tanaka,MF,67.73,0,0
Japan,Takefusa Kubo,MF,70.2,1,0
Japan,Keisuke Gotō,FW,90.94,0,0
Japan,Ritsu Dōan,MF,72.17,1,0
Japan,Daizen Maeda,MF,65.47,0,0
Japan,Keisuke Ōsako,GK,25.59,0,0
Japan,Keito Nakamura,MF,66.15,0,0
Japan,Junya Itō,MF,71.04,1,0
Japan,Daichi Kamada,MF,69.57,1,0
Japan,Tsuyoshi Watanabe,DF,37.17,0,0
Japan,Yuito Suzuki,MF,62.95,0,0
