manager_id,manager_name,team,sample_size,weighted_points_per_match,opponent_adjusted_points,weighted_goal_difference,preferred_formation,formation_share,pressing_score,defensive_line_score,build_up_directness_score,possession_score,transition_score,set_piece_score,substitution_aggression_score,evidence_confidence,data_quality,source,last_observed
germany_nagelsmann,Julian Nagelsmann,Germany,5,1.925,1.362,1.277,4-2-3-1,1.0,47.98,47.05,24.71,62.29,9.41,100.0,100.0,0.167,limited_observed_sample,statsbomb_open_data:3930158:Julian Nagelsmann|statsbomb_open_data:3930168:Julian Nagelsmann|statsbomb_open_data:3930176:Julian Nagelsmann|statsbomb_open_data:3940983:Julian Nagelsmann|statsbomb_open_data:3942226:Julian Nagelsmann,2024-07-05
cote_divoire_fae,Emerse Fae,Cote d'Ivoire,4,2.545,2.326,0.773,4-3-3,0.5,49.5,43.03,28.94,55.73,2.06,100.0,100.0,0.133,limited_observed_sample,statsbomb_open_data:3922242:Emerse Faé|statsbomb_open_data:3922659:Emerse Faé|statsbomb_open_data:3922838:Emerse Faé|statsbomb_open_data:3923881:Emerse Faé,2024-02-11
japan_moriyasu,Hajime Moriyasu,Japan,4,1.727,1.214,0.243,3-4-3,0.5,23.28,42.7,29.09,34.67,4.25,100.0,100.0,0.133,limited_observed_sample,statsbomb_open_data:3857255:Hajime Moriyasu|statsbomb_open_data:3857284:Hajime Moriyasu|statsbomb_open_data:3857295:Hajime Moriyasu|statsbomb_open_data:3869219:Hajime Moriyasu,2022-12-05
netherlands_koeman,Ronald Koeman,Netherlands,12,1.483,0.665,0.268,3-5-2,0.5,35.87,44.45,25.38,57.33,7.31,83.43,100.0,0.4,observed,statsbomb_open_data:3773372:Ronald Koeman|statsbomb_open_data:3773387:Ronald Koeman|statsbomb_open_data:3773457:Ronald Koeman|statsbomb_open_data:3773586:Ronald Koeman|statsbomb_open_data:3773689:Ronald Koeman|statsbomb_open_data:3773695:Ronald Koeman|statsbomb_open_data:3930173:Ronald Koeman|statsbomb_open_data:3930180:Ronald Koeman|statsbomb_open_data:3938637:Ronald Koeman|statsbomb_open_data:3941021:Ronald Koeman|statsbomb_open_data:3942382:Ronald Koeman|statsbomb_open_data:3942819:Ronald Koeman,2024-07-10
sweden_potter,Graham Potter,Sweden,0,,,,,,,,,,,,,0.0,no_observed_history,,
tunisia_lamouchi,Sabri Lamouchi,Tunisia,0,,,,,,,,,,,,,0.0,no_observed_history,,
belgium_garcia,Rudi Garcia,Belgium,12,1.567,0.823,0.422,4-3-3,0.75,46.11,41.42,33.54,50.33,3.29,90.21,91.15,0.4,observed,statsbomb_open_data:3879567:Rudi Garcia|statsbomb_open_data:3879583:Rudi Garcia|statsbomb_open_data:3879592:Rudi Garcia|statsbomb_open_data:3879598:Rudi Garcia|statsbomb_open_data:3879610:Rudi Garcia|statsbomb_open_data:3879617:Rudi Garcia|statsbomb_open_data:3879632:Rudi Garcia|statsbomb_open_data:3879639:Rudi Garcia|statsbomb_open_data:3879651:Rudi Garcia|statsbomb_open_data:3879657:Rudi Garcia|statsbomb_open_data:3879672:Rudi Garcia|statsbomb_open_data:3879676:Rudi Garcia,2016-01-09
egypt_hassan,Hossam Hassan,Egypt,0,,,,,,,,,,,,,0.0,no_observed_history,,
iran_ghalenoei,Amir Ghalenoei,IR Iran,0,,,,,,,,,,,,,0.0,no_observed_history,,
new_zealand_bazeley,Darren Bazeley,New Zealand,0,,,,,,,,,,,,,0.0,no_observed_history,,
cabo_verde_bubista,Bubista,Cabo Verde,0,,,,,,,,,,,,,0.0,no_observed_history,,
saudi_arabia_donis,Georgios Donis,Saudi Arabia,0,,,,,,,,,,,,,0.0,no_observed_history,,
spain_de_la_fuente,Luis de la Fuente,Spain,7,3.0,3.098,1.519,4-2-3-1,0.714,49.62,49.63,25.29,58.51,8.48,72.04,100.0,0.233,limited_observed_sample,statsbomb_open_data:3930160:Luis de la Fuente Castillo|statsbomb_open_data:3930172:Luis de la Fuente Castillo|statsbomb_open_data:3930179:Luis de la Fuente Castillo|statsbomb_open_data:3941018:Luis de la Fuente Castillo|statsbomb_open_data:3942226:Luis de la Fuente Castillo|statsbomb_open_data:3942752:Luis de la Fuente Castillo|statsbomb_open_data:3943043:Luis de la Fuente Castillo,2024-07-14
uruguay_bielsa,Marcelo Bielsa,Uruguay,11,1.228,0.342,0.12,4-2-3-1,0.545,53.71,41.54,32.79,49.07,1.63,100.0,100.0,0.367,observed,statsbomb_open_data:267502:Marcelo Alberto Bielsa Caldera|statsbomb_open_data:3829414:Marcelo Alberto Bielsa Caldera|statsbomb_open_data:3939973:Marcelo Alberto Bielsa Caldera|statsbomb_open_data:3939982:Marcelo Alberto Bielsa Caldera|statsbomb_open_data:3939990:Marcelo Alberto Bielsa Caldera|statsbomb_open_data:3942415:Marcelo Alberto Bielsa Caldera|statsbomb_open_data:3942852:Marcelo Alberto Bielsa Caldera|statsbomb_open_data:3943076:Marcelo Alberto Bielsa Caldera|statsbomb_open_data:69323:Marcelo Alberto Bielsa Caldera|statsbomb_open_data:69330:Marcelo Alberto Bielsa Caldera|statsbomb_open_data:70263:Marcelo Alberto Bielsa Caldera,2024-07-14
france_deschamps,Didier Deschamps,France,12,1.729,1.137,0.416,4-2-3-1,0.5,30.2,42.67,26.16,50.4,5.61,100.0,81.56,0.4,observed,statsbomb_open_data:3857266:Didier Deschamps|statsbomb_open_data:3857275:Didier Deschamps|statsbomb_open_data:3869152:Didier Deschamps|statsbomb_open_data:3869354:Didier Deschamps|statsbomb_open_data:3869552:Didier Deschamps|statsbomb_open_data:3869685:Didier Deschamps|statsbomb_open_data:3930165:Didier Deschamps|statsbomb_open_data:3930173:Didier Deschamps|statsbomb_open_data:3938643:Didier Deschamps|statsbomb_open_data:3941019:Didier Deschamps|statsbomb_open_data:3942349:Didier Deschamps|statsbomb_open_data:3942752:Didier Deschamps,2024-07-09
iraq_arnold,Graham Arnold,Iraq,4,1.497,0.718,-0.457,4-4-2,0.75,18.09,41.88,35.51,36.93,4.12,23.86,100.0,0.133,limited_observed_sample,statsbomb_open_data:3857257:Graham James Arnold|statsbomb_open_data:3857279:Graham James Arnold|statsbomb_open_data:3857288:Graham James Arnold|statsbomb_open_data:3869151:Graham James Arnold,2022-12-03
norway_solbakken,Stale Solbakken,Norway,0,,,,,,,,,,,,,0.0,no_observed_history,,
senegal_thiaw,Pape Thiaw,Senegal,0,,,,,,,,,,,,,0.0,no_observed_history,,
algeria_petkovic,Vladimir Petkovic,Algeria,9,1.211,0.289,-0.114,4-2-3-1,0.556,43.96,41.85,29.18,51.33,2.34,100.0,98.04,0.3,limited_observed_sample,statsbomb_open_data:3788744:Vladimir Petković|statsbomb_open_data:3788754:Vladimir Petković|statsbomb_open_data:3788765:Vladimir Petković|statsbomb_open_data:3794691:Vladimir Petković|statsbomb_open_data:3795108:Vladimir Petković|statsbomb_open_data:7533:Vladimir Petković|statsbomb_open_data:7550:Vladimir Petković|statsbomb_open_data:7568:Vladimir Petković|statsbomb_open_data:7586:Vladimir Petković,2021-07-02
argentina_scaloni,Lionel Scaloni,Argentina,12,2.5,2.342,1.305,4-4-2,0.583,42.21,43.77,25.63,55.97,5.74,100.0,97.22,0.4,observed,statsbomb_open_data:3857264:Lionel Sebastián Scaloni|statsbomb_open_data:3857289:Lionel Sebastián Scaloni|statsbomb_open_data:3869151:Lionel Sebastián Scaloni|statsbomb_open_data:3869321:Lionel Sebastián Scaloni|statsbomb_open_data:3869519:Lionel Sebastián Scaloni|statsbomb_open_data:3869685:Lionel Sebastián Scaloni|statsbomb_open_data:3939969:Lionel Sebastián Scaloni|statsbomb_open_data:3939977:Lionel Sebastián Scaloni|statsbomb_open_data:3939986:Lionel Sebastián Scaloni|statsbomb_open_data:3942228:Lionel Sebastián Scaloni|statsbomb_open_data:3942785:Lionel Sebastián Scaloni|statsbomb_open_data:3943077:Lionel Sebastián Scaloni,2024-07-15
austria_rangnick,Ralf Rangnick,Austria,4,1.497,0.768,0.24,4-2-3-1,1.0,51.47,48.29,26.71,51.37,6.18,89.08,100.0,0.133,limited_observed_sample,statsbomb_open_data:3930165:Ralf Rangnick|statsbomb_open_data:3930180:Ralf Rangnick|statsbomb_open_data:3938641:Ralf Rangnick|statsbomb_open_data:3941022:Ralf Rangnick,2024-07-02
jordan_sellami,Jamal Sellami,Jordan,0,,,,,,,,,,,,,0.0,no_observed_history,,
colombia_lorenzo,Nestor Lorenzo,Colombia,6,2.098,1.724,1.438,4-1-2-1-2,0.833,48.02,44.89,30.32,53.73,2.42,100.0,100.0,0.2,limited_observed_sample,statsbomb_open_data:3939975:Néstor Gabriel Lorenzo|statsbomb_open_data:3939984:Néstor Gabriel Lorenzo|statsbomb_open_data:3939991:Néstor Gabriel Lorenzo|statsbomb_open_data:3942416:Néstor Gabriel Lorenzo|statsbomb_open_data:3942852:Néstor Gabriel Lorenzo|statsbomb_open_data:3943077:Néstor Gabriel Lorenzo,2024-07-15
congo_dr_desabre,Sebastien Desabre,Congo DR,7,1.141,0.205,0.141,4-2-3-1,0.857,40.97,43.94,31.68,45.33,3.96,100.0,100.0,0.233,limited_observed_sample,statsbomb_open_data:3920395:Sébastien Desabre|statsbomb_open_data:3920405:Sébastien Desabre|statsbomb_open_data:3920418:Sébastien Desabre|statsbomb_open_data:3922240:Sébastien Desabre|statsbomb_open_data:3922356:Sébastien Desabre|statsbomb_open_data:3922838:Sébastien Desabre|statsbomb_open_data:3923880:Sébastien Desabre,2024-02-10
portugal_martinez,Roberto Martinez,Portugal,12,1.638,0.958,0.266,3-4-2-1,0.5,35.83,42.8,25.05,58.64,3.24,100.0,100.0,0.4,observed,statsbomb_open_data:3788757:Roberto Martínez Montoliú|statsbomb_open_data:3788768:Roberto Martínez Montoliú|statsbomb_open_data:3794687:Roberto Martínez Montoliú|statsbomb_open_data:3795107:Roberto Martínez Montoliú|statsbomb_open_data:3857268:Roberto Martínez Montoliú|statsbomb_open_data:3857283:Roberto Martínez Montoliú|statsbomb_open_data:3857296:Roberto Martínez Montoliú|statsbomb_open_data:3930166:Roberto Martínez Montoliú|statsbomb_open_data:3930174:Roberto Martínez Montoliú|statsbomb_open_data:3938644:Roberto Martínez Montoliú|statsbomb_open_data:3941020:Roberto Martínez Montoliú|statsbomb_open_data:3942349:Roberto Martínez Montoliú,2024-07-05
uzbekistan_cannavaro,Fabio Cannavaro,Uzbekistan,0,,,,,,,,,,,,,0.0,no_observed_history,,
croatia_dalic,Zlatko Dalic,Croatia,12,1.193,0.312,-0.275,4-3-3,0.917,40.4,43.99,25.5,53.98,1.72,100.0,100.0,0.4,observed,statsbomb_open_data:3788771:Zlatko Dalić|statsbomb_open_data:3794686:Zlatko Dalić|statsbomb_open_data:3857277:Zlatko Dalić|statsbomb_open_data:3857281:Zlatko Dalić|statsbomb_open_data:3857296:Zlatko Dalić|statsbomb_open_data:3869219:Zlatko Dalić|statsbomb_open_data:3869420:Zlatko Dalić|statsbomb_open_data:3869519:Zlatko Dalić|statsbomb_open_data:3869684:Zlatko Dalić|statsbomb_open_data:3930160:Zlatko Dalić|statsbomb_open_data:3930167:Zlatko Dalić|statsbomb_open_data:3930178:Zlatko Dalić,2024-06-24
england_tuchel,Thomas Tuchel,England,4,1.665,0.964,0.103,4-2-3-1,0.5,51.32,45.69,27.7,53.75,5.57,100.0,99.39,0.133,limited_observed_sample,statsbomb_open_data:3890301:Thomas Tuchel|statsbomb_open_data:3890456:Thomas Tuchel|statsbomb_open_data:3895074:Thomas Tuchel|statsbomb_open_data:3895232:Thomas Tuchel,2024-02-10
ghana_queiroz,Carlos Queiroz,Ghana,6,1.132,0.185,-0.523,4-1-4-1,0.5,30.1,38.69,37.06,32.08,8.64,72.76,100.0,0.2,limited_observed_sample,statsbomb_open_data:3857271:Carlos Manuel Brito Leal Queiróz|statsbomb_open_data:3857273:Carlos Manuel Brito Leal Queiróz|statsbomb_open_data:3857278:Carlos Manuel Brito Leal Queiróz|statsbomb_open_data:7543:Carlos Manuel Brito Leal Queiróz|statsbomb_open_data:7557:Carlos Manuel Brito Leal Queiróz|statsbomb_open_data:7577:Carlos Manuel Brito Leal Queiróz,2022-11-29
panama_christiansen,Thomas Christiansen,Panama,4,1.497,0.638,-1.067,3-4-3,1.0,45.61,46.57,31.12,54.53,6.18,47.09,100.0,0.133,limited_observed_sample,statsbomb_open_data:3939973:Thomas Christiansen Tarín|statsbomb_open_data:3939981:Thomas Christiansen Tarín|statsbomb_open_data:3939989:Thomas Christiansen Tarín|statsbomb_open_data:3942416:Thomas Christiansen Tarín,2024-07-06
