match_id,team,player,player_id,status,category,start_date,end_date,availability,minutes_limit,impact_score,source,updated_at
,South Africa,Tshepang Moremi,,available,squad-status,,,1.0,90,52.27,squad-projection,2026-06-05T19:40:23.502261+00:00
,South Africa,Lyle Foster,,available,squad-status,,,1.0,90,95.47,squad-projection,2026-06-05T19:40:23.502261+00:00
,South Africa,Relebohile Mofokeng,,available,squad-status,,,1.0,90,53.71,squad-projection,2026-06-05T19:40:23.502261+00:00
,South Africa,Themba Zwane,,available,squad-status,,,1.0,90,93.0,squad-projection,2026-06-05T19:40:23.502261+00:00
,South Africa,Thapelo Maseko,,available,squad-status,,,1.0,90,51.77,squad-projection,2026-06-05T19:40:23.502261+00:00
,South Africa,Sphephelo Sithole,,available,squad-status,,,1.0,90,31.2,squad-projection,2026-06-05T19:40:23.502261+00:00
,South Africa,Mbekezeli Mbokazi,,available,squad-status,,,1.0,90,87.4,squad-projection,2026-06-05T19:40:23.502261+00:00
,South Africa,Iqraam Rayners,,available,squad-status,,,1.0,90,55.16,squad-projection,2026-06-05T19:40:23.502261+00:00
,South Africa,Sipho Chaine,,available,squad-status,,,1.0,90,51.85,squad-projection,2026-06-05T19:40:23.502261+00:00
,South Africa,Evidence Makgopa,,available,squad-status,,,1.0,90,89.28,squad-projection,2026-06-05T19:40:23.502261+00:00
,South Africa,Samukele Kabini,,available,squad-status,,,1.0,90,53.12,squad-projection,2026-06-05T19:40:23.502261+00:00
,South Africa,Nkosinathi Sibisi,,available,squad-status,,,1.0,90,87.02,squad-projection,2026-06-05T19:40:23.502261+00:00
,South Africa,Khuliso Mudau,,available,squad-status,,,1.0,90,89.37,squad-projection,2026-06-05T19:40:23.502261+00:00
,South Africa,Ime Okon,,available,squad-status,,,1.0,90,53.17,squad-projection,2026-06-05T19:40:23.502261+00:00
,South Africa,Ricardo Goss,,available,squad-status,,,1.0,90,49.63,squad-projection,2026-06-05T19:40:23.502261+00:00
,South Africa,Jayden Adams,,available,squad-status,,,1.0,90,51.99,squad-projection,2026-06-05T19:40:23.502261+00:00
,South Africa,Olwethu Makhanya,,available,squad-status,,,1.0,90,52.04,squad-projection,2026-06-05T19:40:23.502261+00:00
,South Africa,Kamogelo Sebelebele,,available,squad-status,,,1.0,90,50.86,squad-projection,2026-06-05T19:40:23.502261+00:00
,South Africa,Bradley Cross,,available,squad-status,,,1.0,90,50.13,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Kim Seung-gyu,,available,squad-status,,,1.0,90,63.21,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Lee Han-beom,,available,squad-status,,,1.0,90,28.41,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Lee Gi-hyuk,,available,squad-status,,,1.0,90,27.72,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Kim Min-jae,,available,squad-status,,,1.0,90,62.31,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Kim Tae-hyeon,,available,squad-status,,,1.0,90,28.27,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Hwang In-beom,,available,squad-status,,,1.0,90,61.47,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Son Heung-min,,available,squad-status,,,1.0,90,72.5,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Paik Seung-ho,,available,squad-status,,,1.0,90,31.51,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Cho Gue-sung,,available,squad-status,,,1.0,90,56.53,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Lee Jae-sung,,available,squad-status,,,1.0,90,67.5,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Hwang Hee-chan,,available,squad-status,,,1.0,90,65.56,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Song Bum-keun,,available,squad-status,,,1.0,90,27.72,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Lee Tae-seok,,available,squad-status,,,1.0,90,29.54,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Cho Wi-je,,available,squad-status,,,1.0,90,27.44,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Kim Moon-hwan,,available,squad-status,,,1.0,90,51.53,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Park Jin-seob,,available,squad-status,,,1.0,90,29.4,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Bae Jun-ho,,available,squad-status,,,1.0,90,29.41,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Oh Hyeon-gyu,,available,squad-status,,,1.0,90,31.98,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Lee Kang-in,,available,squad-status,,,1.0,90,56.94,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Yang Hyun-jun,,available,squad-status,,,1.0,90,28.55,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Jo Hyeon-woo,,available,squad-status,,,1.0,90,33.96,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Seol Young-woo,,available,squad-status,,,1.0,90,51.31,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Jens Castrop,,available,squad-status,,,1.0,90,89.36,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Kim Jin-gyu,,available,squad-status,,,1.0,90,30.82,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Eom Ji-sung,,available,squad-status,,,1.0,90,28.86,squad-projection,2026-06-05T19:40:23.502261+00:00
,Korea Republic,Lee Dong-gyeong,,available,squad-status,,,1.0,90,30.42,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Nikola Vasilj,,available,squad-status,,,1.0,90,91.3,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Nihad Mujakić,,available,squad-status,,,1.0,90,52.85,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Dennis Hadžikadunić,,available,squad-status,,,1.0,90,89.11,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Tarik Muharemović,,available,squad-status,,,1.0,90,93.45,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Sead Kolašinac,,available,squad-status,,,1.0,90,99.52,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Benjamin Tahirović,,available,squad-status,,,1.0,90,92.12,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Amar Dedić,,available,squad-status,,,1.0,90,95.34,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Armin Gigović,,available,squad-status,,,1.0,90,55.21,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Samed Baždar,,available,squad-status,,,1.0,90,53.37,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Ermedin Demirović,,available,squad-status,,,1.0,90,99.62,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Edin Džeko,,available,squad-status,,,1.0,90,110.26,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Mladen Jurkas,,available,squad-status,,,1.0,90,50.25,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Ivan Bašić,,available,squad-status,,,1.0,90,53.39,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Ivan Šunjić,,available,squad-status,,,1.0,90,53.57,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Amar Memić,,available,squad-status,,,1.0,90,88.54,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Amir Hadžiahmetović,,available,squad-status,,,1.0,90,93.08,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Dženis Burnić,,available,squad-status,,,1.0,90,53.81,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Nikola Katić,,available,squad-status,,,1.0,90,54.24,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Kerim Alajbegović,,available,squad-status,,,1.0,90,92.21,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Esmir Bajraktarević,,available,squad-status,,,1.0,90,56.64,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Stjepan Radeljić,,available,squad-status,,,1.0,90,53.31,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Martin Zlomislić,,available,squad-status,,,1.0,90,52.46,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Haris Tabaković,,available,squad-status,,,1.0,90,55.01,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Nidal Čelik,,available,squad-status,,,1.0,90,54.32,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Jovo Lukić,,available,squad-status,,,1.0,90,51.83,squad-projection,2026-06-05T19:40:23.502261+00:00
,Bosnia and Herzegovina,Ermin Mahmić,,available,squad-status,,,1.0,90,53.74,squad-projection,2026-06-05T19:40:23.502261+00:00
,Canada,Dayne St. Clair,,available,squad-status,,,1.0,90,55.77,squad-projection,2026-06-05T19:40:23.502261+00:00
,Canada,Alistair Johnston,,available,squad-status,,,1.0,90,100.11,squad-projection,2026-06-05T19:40:23.502261+00:00
,Canada,Alfie Jones,,available,squad-status,,,1.0,90,54.19,squad-projection,2026-06-05T19:40:23.502261+00:00
,Canada,Luc de Fougerolles,,available,squad-status,,,1.0,90,52.53,squad-projection,2026-06-05T19:40:23.502261+00:00
,Canada,Joel Waterman,,available,squad-status,,,1.0,90,54.4,squad-projection,2026-06-05T19:40:23.502261+00:00
,Canada,Mathieu Choinière,,available,squad-status,,,1.0,90,53.67,squad-projection,2026-06-05T19:40:23.502261+00:00
,Canada,Stephen Eustáquio,,available,squad-status,,,1.0,90,99.63,squad-projection,2026-06-05T19:40:23.502261+00:00
,Canada,Ismaël Koné,,available,squad-status,,,1.0,90,99.97,squad-projection,2026-06-05T19:40:23.502261+00:00
,Canada,Cyle Larin,,available,squad-status,,,1.0,90,111.29,squad-projection,2026-06-05T19:40:23.502261+00:00
,Canada,Jonathan David,,available,squad-status,,,1.0,90,116.44,squad-projection,2026-06-05T19:40:23.502261+00:00
,Canada,Liam Millar,,available,squad-status,,,1.0,90,58.44,squad-projection,2026-06-05T19:40:23.502261+00:00
,Canada,Tani Oluwaseyi,,available,squad-status,,,1.0,90,57.91,squad-projection,2026-06-05T19:40:23.502261+00:00
,Canada,Derek Cornelius,,available,squad-status,,,1.0,90,93.82,squad-projection,2026-06-05T19:40:23.502261+00:00
,Canada,Jacob Shaffelburg,,available,squad-status,,,1.0,90,57.66,squad-projection,2026-06-05T19:40:23.502261+00:00
,Canada,Moïse Bombito,,available,squad-status,,,1.0,90,56.95,squad-projection,2026-06-05T19:40:23.502261+00:00
,Canada,Maxime Crépeau,,available,squad-status,,,1.0,90,90.13,squad-projection,2026-06-05T19:40:23.502261+00:00
,Canada,Tajon Buchanan,,available,squad-status,,,1.0,90,103.41,squad-projection,2026-06-05T19:40:23.502261+00:00
,Canada,Owen Goodman,,available,squad-status,,,1.0,90,49.84,squad-projection,2026-06-05T19:40:23.502261+00:00
,Canada,Alphonso Davies,,available,squad-status,,,1.0,90,108.23,squad-projection,2026-06-05T19:40:23.502261+00:00
,Canada,Ali Ahmed,,available,squad-status,,,1.0,90,57.09,squad-projection,2026-06-05T19:40:23.502261+00:00
,Canada,Jonathan Osorio,,available,squad-status,,,1.0,90,104.01,squad-projection,2026-06-05T19:40:23.502261+00:00
,Canada,Richie Laryea,,available,squad-status,,,1.0,90,98.2,squad-projection,2026-06-05T19:40:23.502261+00:00
,Canada,Niko Sigur,,available,squad-status,,,1.0,90,56.03,squad-projection,2026-06-05T19:40:23.502261+00:00
,Canada,Promise David,,available,squad-status,,,1.0,90,57.41,squad-projection,2026-06-05T19:40:23.502261+00:00
,Canada,Nathan Saliba,,available,squad-status,,,1.0,90,29.55,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Mahmud Abunada,,available,squad-status,,,1.0,90,27.85,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Pedro Miguel,,available,squad-status,,,1.0,90,97.07,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Lucas Mendes,,available,squad-status,,,1.0,90,84.45,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Issa Laye,,available,squad-status,,,1.0,90,48.53,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Jassem Gaber,,available,squad-status,,,1.0,90,86.75,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Abdulaziz Hatem,,available,squad-status,,,1.0,90,41.5,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Ahmed Alaaeldin,,available,squad-status,,,1.0,90,59.5,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Edmilson Junior,,available,squad-status,,,1.0,90,53.94,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Mohammed Muntari,,available,squad-status,,,1.0,90,96.0,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Hassan Al-Haydos,,available,squad-status,,,1.0,90,45.24,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Akram Afif,,available,squad-status,,,1.0,90,115.94,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Karim Boudiaf,,available,squad-status,,,1.0,90,98.0,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Ayoub Al-Oui,,available,squad-status,,,1.0,90,49.88,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Homam Ahmed,,available,squad-status,,,1.0,90,37.06,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Yusuf Abdurisag,,available,squad-status,,,1.0,90,54.4,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Boualem Khoukhi,,available,squad-status,,,1.0,90,102.11,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Ahmed Al-Ganehi,,available,squad-status,,,1.0,90,82.75,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Sultan Al-Brake,,available,squad-status,,,1.0,90,51.03,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Almoez Ali,,available,squad-status,,,1.0,90,112.76,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Ahmed Fathy,,available,squad-status,,,1.0,90,33.82,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Salah Zakaria,,available,squad-status,,,1.0,90,50.41,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Meshaal Barsham,,available,squad-status,,,1.0,90,92.21,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Assim Madibo,,available,squad-status,,,1.0,90,89.75,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Tahsin Jamshid,,available,squad-status,,,1.0,90,27.58,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Al-Hashmi Al-Hussain,,available,squad-status,,,1.0,90,49.47,squad-projection,2026-06-05T19:40:23.502261+00:00
,Qatar,Mohamed Manai,,available,squad-status,,,1.0,90,28.55,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Gregor Kobel,,available,squad-status,,,1.0,90,96.16,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Miro Muheim,,available,squad-status,,,1.0,90,54.85,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Silvan Widmer,,available,squad-status,,,1.0,90,59.44,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Nico Elvedi,,available,squad-status,,,1.0,90,102.61,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Manuel Akanji,,available,squad-status,,,1.0,90,108.03,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Denis Zakaria,,available,squad-status,,,1.0,90,105.28,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Breel Embolo,,available,squad-status,,,1.0,90,114.02,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Remo Freuler,,available,squad-status,,,1.0,90,106.59,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Johan Manzambi,,available,squad-status,,,1.0,90,59.53,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Granit Xhaka,,available,squad-status,,,1.0,90,111.44,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Dan Ndoye,,available,squad-status,,,1.0,90,99.4,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Yvon Mvogo,,available,squad-status,,,1.0,90,54.23,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Ricardo Rodriguez,,available,squad-status,,,1.0,90,104.87,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Ardon Jashari,,available,squad-status,,,1.0,90,57.32,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Djibril Sow,,available,squad-status,,,1.0,90,98.35,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Christian Fassnacht,,available,squad-status,,,1.0,90,55.87,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Rubén Vargas,,available,squad-status,,,1.0,90,104.61,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Eray Cömert,,available,squad-status,,,1.0,90,55.34,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Noah Okafor,,available,squad-status,,,1.0,90,59.99,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Michel Aebischer,,available,squad-status,,,1.0,90,58.95,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Marvin Keller,,available,squad-status,,,1.0,90,54.06,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Fabian Rieder,,available,squad-status,,,1.0,90,59.0,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Zeki Amdouni,,available,squad-status,,,1.0,90,59.78,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Aurèle Amenda,,available,squad-status,,,1.0,90,55.62,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Luca Jaquez,,available,squad-status,,,1.0,90,55.2,squad-projection,2026-06-05T19:40:23.502261+00:00
,Switzerland,Cedric Itten,,available,squad-status,,,1.0,90,54.59,squad-projection,2026-06-05T19:40:23.502261+00:00
,Brazil,Alisson,,available,squad-status,,,1.0,90,106.15,squad-projection,2026-06-05T19:40:23.502261+00:00
,Brazil,Wesley,,available,squad-status,,,1.0,90,93.15,squad-projection,2026-06-05T19:40:23.502261+00:00
,Brazil,Gabriel Magalhães,,available,squad-status,,,1.0,90,29.81,squad-projection,2026-06-05T19:40:23.502261+00:00
,Brazil,Marquinhos,,available,squad-status,,,1.0,90,112.37,squad-projection,2026-06-05T19:40:23.502261+00:00
,Brazil,Casemiro,,available,squad-status,,,1.0,90,107.54,squad-projection,2026-06-05T19:40:23.502261+00:00
,Brazil,Alex Sandro,,available,squad-status,,,1.0,90,57.27,squad-projection,2026-06-05T19:40:23.502261+00:00
,Brazil,Vinícius Júnior,,available,squad-status,,,1.0,90,108.12,squad-projection,2026-06-05T19:40:23.502261+00:00
,Brazil,Bruno Guimarães,,available,squad-status,,,1.0,90,102.95,squad-projection,2026-06-05T19:40:23.502261+00:00
,Brazil,Matheus Cunha,,available,squad-status,,,1.0,90,61.43,squad-projection,2026-06-05T19:40:23.502261+00:00
,Brazil,Neymar,,available,squad-status,,,1.0,90,115.94,squad-projection,2026-06-05T19:40:23.502261+00:00
,Brazil,Raphinha,,available,squad-status,,,1.0,90,104.68,squad-projection,2026-06-05T19:40:23.502261+00:00
,Brazil,Weverton,,available,squad-status,,,1.0,90,51.64,squad-projection,2026-06-05T19:40:23.502261+00:00
,Brazil,Danilo Luiz,,available,squad-status,,,1.0,90,37.02,squad-projection,2026-06-05T19:40:23.502261+00:00
,Brazil,Bremer,,available,squad-status,,,1.0,90,93.03,squad-projection,2026-06-05T19:40:23.502261+00:00
,Brazil,Léo Pereira,,available,squad-status,,,1.0,90,55.52,squad-projection,2026-06-05T19:40:23.502261+00:00
