event_id,match_id,match_date,competition,team,opponent,player,related_player,event_type,period,minute,second,possession_id,possession_team,play_pattern,outcome,x,y,end_x,end_y,xg,is_goal,is_set_piece,is_counterattack,under_pressure,body_part,card_type,substitution_replacement,goalkeeper,source,source_event_type,source_confidence,updated_at
fra_12,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Dayot Upamecano,,aerial_duel,2,51,22.0,9,Brazil,Open Play,Won,55.0,38.0,,,,False,False,False,False,Head,,,,manual_csv,Aerial Duel,0.82,2026-06-11T22:00:00Z
fra_13,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Jules Kounde,,foul,2,55,4.0,10,Brazil,Open Play,Committed,84.0,65.0,,,,False,False,False,False,,,,,manual_csv,Foul Committed,0.82,2026-06-11T22:00:00Z
fra_14,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Jules Kounde,,card,2,55,10.0,10,Brazil,Open Play,Booked,84.0,65.0,,,,False,False,False,False,,Yellow Card,,,manual_csv,Card,0.82,2026-06-11T22:00:00Z
fra_15,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Adrien Rabiot,,substitution,2,62,0.0,11,France,Open Play,Complete,,,,,,False,False,False,False,,,Eduardo Camavinga,,manual_csv,Substitution,0.82,2026-06-11T22:00:00Z
fra_16,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Ousmane Dembele,,corner,2,68,15.0,12,France,Corner,Complete,120.0,0.0,108.0,40.0,,False,True,False,False,,,,,manual_csv,Corner,0.82,2026-06-11T22:00:00Z
fra_17,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Antoine Griezmann,,set_piece,2,69,0.0,12,France,Free Kick,Complete,86.0,40.0,105.0,40.0,,False,True,False,False,,,,,manual_csv,Set Piece,0.82,2026-06-11T22:00:00Z
fra_18,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Kylian Mbappe,,penalty,2,70,30.0,12,France,Penalty,Goal,108.0,40.0,,,0.76,True,True,False,False,Right Foot,,,Alisson,manual_csv,Penalty,0.82,2026-06-11T22:00:00Z
fra_19,FRA-BRA-TEST,2026-06-11,Friendly,France,Brazil,Mike Maignan,,save,2,76,22.0,13,Brazil,Open Play,Saved,112.0,42.0,,,0.25,False,False,False,False,,,,Mike Maignan,manual_csv,Goalkeeper Save,0.82,2026-06-11T22:00:00Z
bra_01,FRA-BRA-TEST,2026-06-11,Friendly,Brazil,France,Bruno Guimaraes,Vinicius Junior,pass,1,5,5.0,20,Brazil,Open Play,Complete,28.0,42.0,52.0,,,False,False,False,False,,,,,manual_csv,Pass,0.82,2026-06-11T22:00:00Z
bra_02,FRA-BRA-TEST,2026-06-11,Friendly,Brazil,France,Marquinhos,Raphinha,progressive_pass,1,16,20.0,21,Brazil,Open Play,Complete,78.0,45.0,106.0,46.0,,False,False,False,False,,,,,manual_csv,Progressive Pass,0.82,2026-06-11T22:00:00Z
bra_03,FRA-BRA-TEST,2026-06-11,Friendly,Brazil,France,Vinicius Junior,,shot,1,28,10.0,22,Brazil,Open Play,Saved,112.0,42.0,,,0.25,False,False,False,True,Right Foot,,,Mike Maignan,manual_csv,Shot,0.82,2026-06-11T22:00:00Z
bra_04,FRA-BRA-TEST,2026-06-11,Friendly,Brazil,France,Raphinha,,goal,1,44,0.0,23,Brazil,Open Play,Goal,109.0,45.0,,,0.5,True,False,False,False,Left Foot,,,Mike Maignan,manual_csv,Goal,0.82,2026-06-11T22:00:00Z
bra_05,FRA-BRA-TEST,2026-06-11,Friendly,Brazil,France,Vinicius Junior,,carry,2,53,12.0,24,Brazil,Counterattack,Complete,72.0,20.0,103.0,28.0,,False,False,True,True,,,,,manual_csv,Carry,0.82,2026-06-11T22:00:00Z
bra_06,FRA-BRA-TEST,2026-06-11,Friendly,Brazil,France,Casemiro,,tackle,2,58,18.0,25,France,Open Play,Won,88.0,40.0,,,,False,False,False,True,,,,,manual_csv,Tackle,0.82,2026-06-11T22:00:00Z
bra_07,FRA-BRA-TEST,2026-06-11,Friendly,Brazil,France,Bruno Guimaraes,,interception,2,60,5.0,25,France,Open Play,Won,81.0,38.0,,,,False,False,False,False,,,,,manual_csv,Interception,0.82,2026-06-11T22:00:00Z
bra_08,FRA-BRA-TEST,2026-06-11,Friendly,Brazil,France,Raphinha,,corner,2,73,2.0,26,Brazil,Corner,Complete,120.0,80.0,108.0,42.0,,False,True,False,False,,,,,manual_csv,Corner,0.82,2026-06-11T22:00:00Z
bra_09,FRA-BRA-TEST,2026-06-11,Friendly,Brazil,France,Marquinhos,,shot,2,73,8.0,26,Brazil,Corner,Off Target,108.0,42.0,,,0.12,False,True,False,False,Head,,,Mike Maignan,manual_csv,Shot,0.82,2026-06-11T22:00:00Z
bra_10,FRA-BRA-TEST,2026-06-11,Friendly,Brazil,France,Alisson,,save,2,88,20.0,27,France,Open Play,Saved,110.0,38.0,,,0.2,False,False,False,False,,,,Alisson,manual_csv,Save,0.82,2026-06-11T22:00:00Z
