player_id,player,team,position,role_archetype,role_fit_score,shooting_score,creation_score,progression_score,ball_retention_score,pressing_score,defending_score,aerial_score,transition_score,set_piece_score,form_score,confidence,source,data_quality,updated_at
brazil_marquinhos,Marquinhos,Brazil,CB,stopper_centerback,87.09,57.0,68.0,85.0,82.33,82.0,90.5,85.0,78.33,50.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
brazil_marquinhos,Marquinhos,Brazil,CB,defensive_fullback,86.29,57.0,68.0,85.0,82.33,82.0,90.5,85.0,78.33,50.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
brazil_raphinha,Raphinha,Brazil,RW,touchline_winger,88.04,86.0,90.0,88.0,86.0,86.0,69.0,62.0,88.33,82.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
brazil_vinicius_junior,Vinícius Júnior,Brazil,LW,inverted_winger,90.42,88.0,87.0,92.0,89.33,74.0,60.5,55.0,95.0,66.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
brazil_vinicius_junior,Vinícius Júnior,Brazil,LW,direct_transition_winger,89.28,88.0,87.0,92.0,89.33,74.0,60.5,55.0,95.0,66.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
brazil_wesley,Wesley,Brazil,RB,overlapping_fullback,82.65,64.0,78.0,86.0,80.67,80.0,83.5,68.0,86.0,68.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
france_adrien_rabiot,Adrien Rabiot,France,CM,box_to_box_midfielder,82.58,73.0,79.0,84.0,81.67,84.0,84.5,83.0,80.0,70.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
france_aurelien_tchouameni,Aurélien Tchouaméni,France,DM,ball_winning_midfielder,87.71,69.0,76.0,86.0,84.0,86.0,90.5,88.0,80.0,72.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
france_aurelien_tchouameni,Aurélien Tchouaméni,France,DM,box_to_box_midfielder,84.5,69.0,76.0,86.0,84.0,86.0,90.5,88.0,80.0,72.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
france_dayot_upamecano,Dayot Upamecano,France,CB,stopper_centerback,86.24,52.0,62.0,80.0,78.33,79.0,90.0,86.0,77.67,45.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
france_dayot_upamecano,Dayot Upamecano,France,CB,defensive_fullback,84.43,52.0,62.0,80.0,78.33,79.0,90.0,86.0,77.67,45.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
france_jules_kounde,Jules Koundé,France,RB,defensive_fullback,84.41,58.0,72.0,82.0,81.67,82.0,88.5,81.0,79.67,62.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
france_kylian_mbappe,Kylian Mbappe,France,LW,poacher,92.45,100.0,54.17,84.53,73.17,33.0,20.07,55.0,100.0,54.5,100.0,0.82,manual_csv,observed_season_stats,2026-08-18T23:01:17.565599Z
france_kylian_mbappe,Kylian Mbappe,France,LW,inverted_winger,84.94,100.0,54.17,84.53,73.17,33.0,20.07,55.0,100.0,54.5,100.0,0.82,manual_csv,observed_season_stats,2026-08-18T23:01:17.565599Z
france_kylian_mbappe,Kylian Mbappe,France,LW,direct_transition_winger,84.17,100.0,54.17,84.53,73.17,33.0,20.07,55.0,100.0,54.5,100.0,0.82,manual_csv,observed_season_stats,2026-08-18T23:01:17.565599Z
france_lucas_digne,Lucas Digne,France,LB,overlapping_fullback,79.88,62.0,82.0,82.0,80.0,78.0,77.0,69.0,77.33,89.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
france_marcus_thuram,Marcus Thuram,France,CF,target_striker,80.85,84.0,75.0,82.0,79.67,72.0,62.0,82.0,85.33,58.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
france_marcus_thuram,Marcus Thuram,France,CF,false_nine,78.86,84.0,75.0,82.0,79.67,72.0,62.0,82.0,85.33,58.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
france_mike_maignan,Mike Maignan,France,GK,shot_stopper,67.1,0.0,0.62,25.83,59.01,2.81,75.41,72.73,12.73,0.94,35.0,0.82,manual_csv,observed_season_stats,2026-08-18T23:01:17.565599Z
france_mike_maignan,Mike Maignan,France,GK,sweeper_keeper,48.42,0.0,0.62,25.83,59.01,2.81,75.41,72.73,12.73,0.94,35.0,0.82,manual_csv,observed_season_stats,2026-08-18T23:01:17.565599Z
france_ngolo_kante,N'Golo Kanté,France,CM,ball_winning_midfielder,87.94,61.0,72.0,80.0,82.67,92.0,95.0,68.0,78.0,52.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
france_ousmane_dembele,Ousmane Dembélé,France,RW,inverted_winger,87.75,84.0,88.0,89.0,87.0,76.0,62.0,55.0,91.0,74.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
france_ousmane_dembele,Ousmane Dembélé,France,RW,touchline_winger,87.29,84.0,88.0,89.0,87.0,76.0,62.0,55.0,91.0,74.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
france_william_saliba,William Saliba,France,CB,stopper_centerback,88.51,51.0,64.0,84.0,82.67,81.0,92.0,88.0,80.33,46.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
france_william_saliba,William Saliba,France,CB,defensive_fullback,87.03,51.0,64.0,84.0,82.67,81.0,92.0,88.0,80.33,46.0,50.0,0.3,manual_role_prototype,manual_profile_fallback,2026-08-18T23:01:17.565599Z
